Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
1040198713229041664,"RT @anderspmw: O Meirelles deu uma mitada hoje ao chamar o programa habitacional de Boulos de ""Sua Casa, Minha Vida."" 😂",<[2018-09-13T11:21:14.228Z]>,Tweet,,,,,,,Thu Sep 13 08:21:13 BRT 2018,pt,,,,,,,,,,
@siberiano__,@siberiano__,<[2018-09-13T11:21:14.228Z]>,User,,,,,,,Wed Jun 19 15:58:44 BRT 2013,es,,,http://pbs.twimg.com/profile_images/1040127464549175296/Q0ZSYIzJ_bigger.jpg,8,1,Cindy,,,,
1039673346424823808,"O Meirelles deu uma mitada hoje ao chamar o programa habitacional de Boulos de ""Sua Casa, Minha Vida."" 😂",<[2018-09-13T11:21:14.259Z]>,Tweet,,,,,,,Tue Sep 11 21:33:36 BRT 2018,pt,,,,,,,,,,
@anderspmw,@anderspmw,<[2018-09-13T11:21:14.259Z]>,User,,,,,,,Tue May 09 09:42:58 BRT 2017,en,🇧🇷🇩🇰 MBA @thunderbird Class of '05 | Defensor do liberalismo clássico | sou @flamengo | Administrador | Animal lover | Tolerante mas crítico,,http://pbs.twimg.com/profile_images/1000577524978606080/00ENIoJH_bigger.jpg,644,113,Anders,Brazil,,,
1040198713858244609,"Seguindo a sua lógica, já que Jair e Mourão são ex-militares, o melhor é votar #17! 
#FechadoComBolsonaro",<[2018-09-13T11:21:14.288Z]>,Tweet,,,,,,,Thu Sep 13 08:21:13 BRT 2018,pt,,,,,,,,,,
@maurobremer,@maurobremer,<[2018-09-13T11:21:14.288Z]>,User,,,,,,,Sat Aug 14 10:25:49 BRT 2010,pt,"indignação, indigna, nação...",,http://pbs.twimg.com/profile_images/1029368157478289409/rRaUSiz2_bigger.jpg,2482,3105,MRB 1️⃣7️⃣🇧🇷,Brasil,,,
"#fechadocombolsonaro","#fechadocombolsonaro","<[2018-09-13T11:21:14.288Z, 2018-09-13T11:21:38.698Z, 2018-09-13T11:21:43.239Z, 2018-09-13T11:21:52.871Z, 2018-09-13T11:21:52.873Z, 2018-09-13T11:21:59.173Z, 2018-09-13T11:22:24.358Z, 2018-09-13T11:23:04.409Z, 2018-09-13T11:23:04.517Z, 2018-09-13T11:23:06.658Z, 2018-09-13T11:23:26.796Z, 2018-09-13T11:23:28.956Z, 2018-09-13T11:23:28.957Z, 2018-09-13T11:23:29.244Z, 2018-09-13T11:23:32.939Z, 2018-09-13T11:23:42.685Z, 2018-09-13T11:23:51.269Z, 2018-09-13T11:24:18.486Z, 2018-09-13T11:24:46.339Z, 2018-09-13T11:24:56.413Z, 2018-09-13T11:25:28.682Z, 2018-09-13T11:25:31.878Z, 2018-09-13T11:25:45.313Z, 2018-09-13T11:26:52.031Z, 2018-09-13T11:28:03.065Z, 2018-09-13T11:28:34.649Z, 2018-09-13T11:29:20.012Z, 2018-09-13T11:29:21.103Z, 2018-09-13T11:29:25.952Z, 2018-09-13T11:29:42.164Z, 2018-09-13T11:30:30.875Z, 2018-09-13T11:30:31.103Z, 2018-09-13T11:30:59.613Z, 2018-09-13T11:31:19.736Z, 2018-09-13T11:31:48.304Z, 2018-09-13T11:31:53.696Z, 2018-09-13T11:32:10.648Z, 2018-09-13T11:32:11.457Z, 2018-09-13T11:32:20.586Z, 2018-09-13T11:32:36.071Z, 2018-09-13T11:33:37.282Z, 2018-09-13T11:34:15.711Z, 2018-09-13T11:34:30.268Z, 2018-09-13T11:34:53.453Z, 2018-09-13T11:35:04.274Z, 2018-09-13T11:35:23.333Z, 2018-09-13T11:35:26.283Z, 2018-09-13T11:36:44.548Z, 2018-09-13T11:36:49.564Z, 2018-09-13T11:37:28.612Z, 2018-09-13T11:38:13.702Z, 2018-09-13T11:38:17.738Z, 2018-09-13T11:38:29.240Z, 2018-09-13T11:38:43.110Z, 2018-09-13T11:39:30.055Z, 2018-09-13T11:40:31.189Z, 2018-09-13T11:41:38.288Z, 2018-09-13T11:41:57.762Z, 2018-09-13T11:42:17.944Z, 2018-09-13T11:42:21.508Z, 2018-09-13T11:42:25.938Z, 2018-09-13T11:42:54.857Z, 2018-09-13T11:43:39.352Z, 2018-09-13T12:58:26.942Z, 2018-09-13T12:58:52.581Z, 2018-09-13T12:59:03.313Z, 2018-09-13T12:59:10.996Z, 2018-09-13T13:01:19.861Z, 2018-09-13T13:01:34.662Z, 2018-09-13T13:03:36.678Z, 2018-09-13T13:03:45.828Z, 2018-09-13T13:04:07.373Z, 2018-09-13T13:04:09.210Z, 2018-09-13T13:04:09.571Z, 2018-09-13T13:04:11.759Z, 2018-09-13T13:04:32.437Z, 2018-09-13T13:05:55.051Z, 2018-09-13T13:06:19.722Z, 2018-09-13T13:06:44.880Z, 2018-09-13T13:06:44.881Z, 2018-09-13T13:06:58.353Z, 2018-09-13T13:07:28.492Z, 2018-09-13T13:07:56.476Z, 2018-09-13T13:08:08.901Z, 2018-09-13T13:08:40.293Z, 2018-09-13T13:09:33.654Z, 2018-09-13T13:09:33.655Z]>",Hashtag,,,,,,,,,,,,,,,,,,
1039960480981426176,Bolsonaro”não há nada mais próximo do comunismo que o meio militar “ . Quer derrotar a esquerda de verdade ? Então vote ⁦@geraldoalckmin⁩ https://t.co/0SH7RRMCG1,"<[2018-09-13T11:21:14.289Z, 2018-09-13T11:34:32.548Z, 2018-09-13T11:36:13.760Z]>",Tweet,,,,,,,Wed Sep 12 16:34:34 BRT 2018,pt,,,,,,,,,,
@elenalandau,@elenalandau,"<[2018-09-13T11:21:14.289Z, 2018-09-13T11:21:31.924Z, 2018-09-13T11:21:31.925Z, 2018-09-13T11:28:21.058Z, 2018-09-13T11:34:32.548Z, 2018-09-13T11:36:13.760Z]>",User,,,,,,,Fri Feb 05 11:09:56 BRST 2016,en,"botafoguense, economista e advogada. Livres",,http://pbs.twimg.com/profile_images/1035158715840831489/3ESVl56b_bigger.jpg,407,10712,elenalandau,rio de janeiro,,,
http://pbs.twimg.com/media/Dm6ui94W0AI9BzS.jpg,http://pbs.twimg.com/media/Dm6ui94W0AI9BzS.jpg,"<[2018-09-13T11:21:14.289Z, 2018-09-13T11:34:32.548Z, 2018-09-13T11:36:13.760Z]>",Media,,,,,,,,,,,,,,,,,,
